m_l0,m_l1,m_odd_low_le9,m_odd_mid_9a10_5,m_odd_high_gt10_5,anti_martingale,cut_after_first_red_day,Ops_total,Ops_skip,WR_%,PnL_R$,ROI_%,DD_Max_R$,Delta_PnL_vs_Base_R$,Delta_DD_vs_Base_R$,Score_RiskAdj,Ranking
1.1,0.95,1.1,0.95,1.0,0.05,False,527,0,93.36,10418.57,4.964,1188.17,1773.73,235.16,1726.7023,Top_Lucro
1.1,0.9,1.1,0.95,1.0,0.05,False,527,0,93.36,10369.82,4.986,1174.92,1724.99,221.9,1680.6081,Top_Lucro
1.1,0.95,1.05,1.05,1.0,0.05,False,527,0,93.36,10369.33,4.929,1186.69,1724.49,233.67,1677.7602,Top_Lucro
1.1,0.9,1.05,1.05,1.0,0.05,False,527,0,93.36,10321.76,4.951,1174.04,1676.92,221.02,1632.717,Top_Lucro
1.1,0.9,1.1,0.95,0.95,0.05,False,527,0,93.36,10300.38,4.974,1178.37,1655.55,225.36,1610.4749,Top_Lucro
1.1,0.95,1.05,1.05,0.95,0.05,False,527,0,93.36,10300.34,4.917,1190.15,1655.5,237.13,1608.0772,Top_Lucro
1.1,1.0,1.05,1.0,1.0,0.05,False,527,0,93.36,10290.12,4.923,1179.9,1645.28,226.89,1599.9062,Top_Lucro
1.1,0.9,1.05,1.05,0.95,0.05,False,527,0,93.36,10252.31,4.938,1177.49,1607.48,224.48,1562.5838,Top_Lucro
1.1,0.95,1.05,1.0,1.0,0.05,False,527,0,93.36,10243.05,4.945,1167.25,1598.22,214.23,1555.3706,Top_Lucro
1.1,0.9,1.1,0.95,0.9,0.05,False,527,0,93.36,10230.94,4.961,1181.83,1586.1,228.81,1540.3417,Top_Lucro
1.1,0.95,1.1,0.95,1.0,0.05,False,527,0,93.36,10418.57,4.964,1188.17,1773.73,235.16,1726.7023,Top_RiskAdj
1.1,0.9,1.1,0.95,1.0,0.05,False,527,0,93.36,10369.82,4.986,1174.92,1724.99,221.9,1680.6081,Top_RiskAdj
1.1,0.95,1.05,1.05,1.0,0.05,False,527,0,93.36,10369.33,4.929,1186.69,1724.49,233.67,1677.7602,Top_RiskAdj
1.1,0.9,1.05,1.05,1.0,0.05,False,527,0,93.36,10321.76,4.951,1174.04,1676.92,221.02,1632.717,Top_RiskAdj
1.1,0.9,1.1,0.95,0.95,0.05,False,527,0,93.36,10300.38,4.974,1178.37,1655.55,225.36,1610.4749,Top_RiskAdj
1.1,0.95,1.05,1.05,0.95,0.05,False,527,0,93.36,10300.34,4.917,1190.15,1655.5,237.13,1608.0772,Top_RiskAdj
1.1,1.0,1.05,1.0,1.0,0.05,False,527,0,93.36,10290.12,4.923,1179.9,1645.28,226.89,1599.9062,Top_RiskAdj
1.1,0.9,1.05,1.05,0.95,0.05,False,527,0,93.36,10252.31,4.938,1177.49,1607.48,224.48,1562.5838,Top_RiskAdj
1.1,0.95,1.05,1.0,1.0,0.05,False,527,0,93.36,10243.05,4.945,1167.25,1598.22,214.23,1555.3706,Top_RiskAdj
1.1,0.9,1.1,0.95,0.9,0.05,False,527,0,93.36,10230.94,4.961,1181.83,1586.1,228.81,1540.3417,Top_RiskAdj
